,SO2,NO2,PM10,PM2.5,O3,CO
54,6.0,43.0,82.0,49.0,259.0,1.2
55,4.0,23.0,48.0,27.0,122.0,0.9
56,3.0,36.0,33.0,15.0,67.0,0.9
57,4.0,41.0,35.0,18.0,51.0,1.1
58,5.0,48.0,56.0,28.0,130.0,1.0
59,5.0,24.0,40.0,16.0,151.0,0.7
60,4.0,31.0,44.0,17.0,107.0,0.8
61,6.0,25.0,44.0,20.0,153.0,1.0
62,4.0,18.0,34.0,465.0,83.0,0.7
63,3.0,25.0,32.0,15.0,65.0,0.4
64,3.0,44.0,33.0,17.0,42.0,0.7
65,3.0,41.0,33.0,16.0,28.0,0.8
66,3.0,30.0,83.0,37.0,146.0,0.6
67,4.0,33.0,103.0,39.0,141.0,0.5
68,6.0,42.0,70.0,32.0,148.0,0.6
69,7.0,30.0,61.0,23.0,163.0,0.5
70,8.0,30.0,64.0,29.0,156.0,0.6
71,8.0,26.0,62.0,33.0,193.0,0.7
72,5.0,13.0,36.0,15.0,105.0,0.5
73,4.0,26.0,35.0,17.0,80.0,0.6
74,4.0,41.0,31.0,14.0,39.0,0.6
75,4.0,55.0,37.0,22.0,18.0,0.6
76,4.0,40.0,26.0,19.0,6.0,0.9
77,5.0,40.0,43.0,17.0,124.0,0.8
78,10.0,59.0,80.0,49.0,296.0,1.0
79,6.0,21.0,53.0,34.0,188.0,0.9
80,5.0,26.0,42.0,29.0,106.0,0.8
81,3.0,26.0,28.0,14.0,67.0,0.5
82,3.0,26.0,28.0,11.0,77.0,0.5
83,4.0,33.0,38.0,22.0,136.0,0.7
84,3.0,24.0,52.0,23.0,135.0,0.6
85,5.0,24.0,51.0,27.0,167.0,0.7
86,4.0,19.0,38.0,16.0,108.0,0.5
87,4.0,19.0,37.0,16.0,113.0,0.5
88,3.0,13.0,22.0,6.0,75.0,0.5
89,3.0,12.0,22.0,7.0,67.0,0.4
90,2.0,12.0,24.0,7.0,62.0,0.4
91,3.0,13.0,24.0,10.0,60.0,0.4
92,5.0,12.0,25.0,11.0,59.0,0.4
93,5.0,10.0,26.0,10.0,75.0,0.4
94,4.0,10.0,25.0,7.0,66.0,0.4
95,4.0,12.0,23.0,6.0,59.0,0.4
96,4.0,13.0,23.0,6.0,54.0,0.4
97,3.0,10.0,23.0,8.0,73.0,0.4
98,3.0,11.0,24.0,8.0,56.0,0.4
99,3.0,11.0,21.0,5.0,63.0,0.4
100,2.0,10.0,18.0,4.0,74.0,0.4
101,2.0,12.0,19.0,4.0,81.0,0.4
102,4.0,26.0,23.0,7.0,44.0,0.5
103,7.0,35.0,24.0,10.0,65.0,0.6
104,6.0,21.0,24.0,7.0,72.0,0.5
105,8.0,16.0,20.0,5.0,79.0,0.4
106,6.0,16.0,22.0,4.0,75.0,0.4
107,6.0,17.0,25.0,5.0,58.0,0.4
108,5.0,16.0,30.0,9.0,76.0,0.5
109,5.0,19.0,22.0,9.0,83.0,0.5
110,3.0,29.0,16.0,5.0,58.0,0.5
111,3.0,32.0,24.0,8.0,47.0,0.5
112,3.0,25.0,32.0,11.0,84.0,0.6
113,3.0,25.0,22.0,8.0,59.0,0.6
114,7.0,30.0,40.0,18.0,168.0,0.6
115,12.0,32.0,58.0,34.0,212.0,0.7
116,8.0,19.0,38.0,24.0,192.0,0.6
117,8.0,23.0,37.0,17.0,197.0,0.5
118,8.0,24.0,23.0,6.0,88.0,0.4
119,8.0,27.0,23.0,7.0,93.0,0.4
120,8.0,26.0,30.0,8.0,86.0,0.4
121,7.0,21.0,18.0,4.0,46.0,0.4
122,6.0,27.0,21.0,4.0,35.0,0.4
123,5.0,17.0,22.0,5.0,35.0,0.4
124,5.0,16.0,26.0,8.0,67.0,0.4
125,5.0,13.0,26.0,9.0,64.0,0.4
126,4.0,19.0,26.0,8.0,45.0,0.4
127,5.0,15.0,28.0,10.0,87.0,0.4
128,5.0,13.0,30.0,12.0,96.0,0.4
129,7.0,12.0,33.0,13.0,96.0,0.4
130,6.0,16.0,35.0,15.0,95.0,0.4
131,4.0,34.0,22.0,12.0,88.0,0.4
132,4.0,29.0,22.0,12.0,62.0,0.4
133,5.0,38.0,32.0,16.0,49.0,0.5
134,5.0,25.0,32.0,16.0,90.0,0.5
135,4.0,32.0,34.0,14.0,65.0,0.4
136,4.0,15.0,34.0,14.0,68.0,0.4
137,5.0,16.0,33.0,13.0,65.0,0.4
138,6.0,14.0,33.0,13.0,59.0,0.5
139,5.0,11.0,32.0,12.0,54.0,0.5
140,5.0,8.0,33.0,12.0,69.0,0.5
141,6.0,10.0,31.0,10.0,74.0,0.5
142,6.0,12.0,34.0,13.0,67.0,0.5
143,6.0,10.0,27.0,10.0,93.0,0.4
